"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mirg",2.03328373502567e-06,-1.05947699179402,0.022,0.042,0.0495755240273958,"GCL","Mirg"
"Pim1",2.05043270630316e-06,2.01204276156098,0.024,0.009,0.0499936502450836,"GCL","Pim1"
"Plp11",2.952186375213e-153,8.30892198774374,0.802,0.007,7.19802082004434e-149,"Optic nerve","Plp1"
"Mbp1",3.1560030590504e-150,7.97282259512484,0.793,0.005,7.69496665857669e-146,"Optic nerve","Mbp"
"Fth11",1.87152124448063e-118,3.19085251447155,0.832,0.179,4.56314309829268e-114,"Optic nerve","Fth1"
"Mobp",6.08082231144289e-94,7.09200001951767,0.604,0.007,1.48262609597601e-89,"Optic nerve","Mobp"
"Cldn11",9.5066847272645e-68,5.23650723677894,0.5,0.015,2.31791987020163e-63,"Optic nerve","Cldn11"
"Tmsb4x1",1.82546951247271e-60,1.67930234408264,0.694,0.201,4.45085976531097e-56,"Optic nerve","Tmsb4x"
"Mal1",3.1764314451286e-48,3.60431644525271,0.412,0.022,7.74477514951256e-44,"Optic nerve","Mal"
"Mag",1.89689540528821e-45,4.95421267218897,0.37,0.007,4.62501037717371e-41,"Optic nerve","Mag"
"Apod1",1.0319029859024e-44,2.27865394754766,0.427,0.042,2.51598586022723e-40,"Optic nerve","Apod"
"Trf1",1.63369911362112e-41,1.40028382087028,0.581,0.174,3.98328517883101e-37,"Optic nerve","Trf"
"S100a61",5.61641659531638e-37,1.28109829068074,0.523,0.142,1.36939469427004e-32,"Optic nerve","S100a6"
"Mt21",4.58818047992373e-36,2.33590354425545,0.364,0.037,1.118690164615e-31,"Optic nerve","Mt2"
"Tuba1a",1.87735906204486e-35,1.72510109465346,0.437,0.087,4.57737686507777e-31,"Optic nerve","Tuba1a"
"Mt11",3.18653116771351e-30,2.11284918065884,0.401,0.097,7.76940029311908e-26,"Optic nerve","Mt1"
"Hba-a11",1.23077667971877e-29,-2.73910659037614,0.03,0.152,3.0008797004903e-25,"Optic nerve","Hba-a1"
"Rpl411",1.86180793870828e-29,1.18154339586639,0.515,0.174,4.53946011615854e-25,"Optic nerve","Rpl41"
"Cnp1",8.24750156851744e-27,3.32323927396424,0.246,0.007,2.01090583243592e-22,"Optic nerve","Cnp"
"Car21",3.83090538099505e-26,4.26899476535944,0.255,0.017,9.34051349994214e-22,"Optic nerve","Car2"
"Neat11",9.77430914705582e-24,2.53235664572641,0.228,0.01,2.38317205623515e-19,"Optic nerve","Neat1"
"Rpsa1",2.34413643395498e-23,2.29250766030617,0.295,0.055,5.71547345326902e-19,"Optic nerve","Rpsa"
"Hba-a21",3.85114992242362e-23,-3.24660828438454,0.036,0.147,9.38987374085328e-19,"Optic nerve","Hba-a2"
"mt-Co21",3.97762235576993e-23,11.7884778499117,0.203,0,9.69823882783823e-19,"Optic nerve","mt-Co2"
"C4b1",7.05159592364799e-23,1.48014124284987,0.295,0.052,1.71932011810385e-18,"Optic nerve","C4b"
"Enpp21",1.82177586010856e-22,11.6348157530145,0.198,0,4.44185390211669e-18,"Optic nerve","Enpp2"
"Cst3",4.15960766225214e-22,-1.77079303670038,0.457,0.557,1.01419554021032e-17,"Optic nerve","Cst3"
"Cntnap21",8.82761492317273e-22,-4.33503087056766,0.015,0.092,2.15234907056798e-17,"Optic nerve","Cntnap2"
"mt-Co31",9.04081123166978e-22,11.3846277689277,0.192,0,2.20433059450572e-17,"Optic nerve","mt-Co3"
"Qdpr1",9.04734439968949e-22,3.38900441141158,0.216,0.012,2.20592351153229e-17,"Optic nerve","Qdpr"
"Il331",1.21133400527038e-19,11.5647675858746,0.175,0,2.95347457165024e-15,"Optic nerve","Il33"
"Cd631",1.61211085996219e-19,1.91312329709551,0.233,0.032,3.93064869875982e-15,"Optic nerve","Cd63"
"Gsn1",2.49360813074788e-19,2.07609126101573,0.235,0.035,6.07991534438949e-15,"Optic nerve","Gsn"
"Myo3a1",3.93988802324423e-19,11.1987438820697,0.17,0,9.60623497827408e-15,"Optic nerve","Myo3a"
"mt-Atp61",1.98905825881224e-18,10.535243355409,0.164,0,4.849721846636e-14,"Optic nerve","mt-Atp6"
"Aplp11",3.18840960040876e-18,4.20553452754854,0.173,0.005,7.77398028771664e-14,"Optic nerve","Aplp1"
"Hmgcs11",6.72822013040023e-18,2.92035013179558,0.197,0.02,1.64047463219418e-13,"Optic nerve","Hmgcs1"
"Cartpt1",1.08435187525066e-17,-4.06583138682282,0.049,0.152,2.64386674223616e-13,"Optic nerve","Cartpt"
"Bcas1",1.17973815060445e-17,11.4668216085524,0.158,0,2.87643755880377e-13,"Optic nerve","Bcas1"
"Syt111",1.24273123800497e-17,1.88251672992348,0.263,0.062,3.03002730450373e-13,"Optic nerve","Syt11"
"mt-Nd31",1.40809601809799e-17,10.4788456470417,0.157,0,3.43321971132652e-13,"Optic nerve","mt-Nd3"
"Ermn",2.85216396261926e-17,11.295899419715,0.155,0,6.95414617365827e-13,"Optic nerve","Ermn"
"Ctsd1",3.53754270769842e-17,1.07662107254031,0.34,0.112,8.62523662991028e-13,"Optic nerve","Ctsd"
"Tpt11",8.91991002510144e-17,1.04799215016086,0.335,0.114,2.17485246232023e-12,"Optic nerve","Tpt1"
"Serpina3n1",1.16204177892668e-16,2.87466488774888,0.178,0.015,2.83329026537904e-12,"Optic nerve","Serpina3n"
"Mog",1.26511077336021e-16,11.5397677719388,0.149,0,3.08459308760686e-12,"Optic nerve","Mog"
"Tspan21",1.76571098397628e-16,3.63187089827536,0.162,0.007,4.30515652113097e-12,"Optic nerve","Tspan2"
"Hbb-bs1",1.95327457491975e-16,-2.13650462301896,0.065,0.177,4.76247406856934e-12,"Optic nerve","Hbb-bs"
"Rpl211",2.55846217227699e-16,1.4663138101123,0.245,0.055,6.23804246844575e-12,"Optic nerve","Rpl21"
"Plekhb11",3.02791869713232e-16,1.53579091582001,0.288,0.087,7.38267136734803e-12,"Optic nerve","Plekhb1"
"Pkp41",7.92892268796769e-16,3.72662650126951,0.161,0.01,1.93322992978028e-11,"Optic nerve","Pkp4"
"Peak11",8.30152114801782e-16,1.4743358327797,0.21,0.037,2.0240768863097e-11,"Optic nerve","Peak1"
"Ugt8a",3.08772133617062e-15,11.2114162577008,0.137,0,7.52848216185121e-11,"Optic nerve","Ugt8a"
"S100a41",1.04985189666349e-14,2.55513313098273,0.147,0.007,2.55974889444493e-10,"Optic nerve","S100a4"
"Klk6",2.57953772177851e-14,11.1796700384293,0.129,0,6.28942887324036e-10,"Optic nerve","Klk6"
"Rps241",2.59797794533384e-14,1.15622102055178,0.295,0.102,6.33438982631297e-10,"Optic nerve","Rps24"
"Stmn11",2.78552300015012e-14,4.37997887787981,0.138,0.005,6.79166217896602e-10,"Optic nerve","Stmn1"
"Pllp1",3.11393418840303e-14,6.06727180376535,0.133,0.002,7.59239433816427e-10,"Optic nerve","Pllp"
"Arpc1b1",3.20423308493784e-14,2.14293692863205,0.166,0.02,7.81256110769545e-10,"Optic nerve","Arpc1b"
"Tmem88b",1.07502486683583e-13,10.7903904179664,0.123,0,2.62112563031912e-09,"Optic nerve","Tmem88b"
"Tubb4a1",1.41097277464119e-13,4.45191755784649,0.136,0.007,3.44023381913014e-09,"Optic nerve","Tubb4a"
"Cnmd1",2.14472792068098e-13,-7.69610105135219,0.001,0.025,5.22927561620436e-09,"Optic nerve","Cnmd"
"Ccnd11",2.41917478677522e-13,3.3594612601336,0.135,0.007,5.89843196511535e-09,"Optic nerve","Ccnd1"
"Gatm1",2.72178788959538e-13,4.32578551078989,0.129,0.005,6.63626323241145e-09,"Optic nerve","Gatm"
"Rpl171",4.85882502008491e-13,1.35162844508321,0.23,0.067,1.1846787163971e-08,"Optic nerve","Rpl17"
"Dcn1",1.06644969636648e-12,1.5843812798948,0.148,0.017,2.60021764968076e-08,"Optic nerve","Dcn"
"Actg11",1.89526121708255e-12,3.33199236688915,0.122,0.005,4.62102589949068e-08,"Optic nerve","Actg1"
"Dbndd21",2.1202822713822e-12,4.70576185634319,0.121,0.005,5.16967223408409e-08,"Optic nerve","Dbndd2"
"Tmem561",2.31326413310509e-12,2.30636885746685,0.121,0.005,5.64020060933682e-08,"Optic nerve","Tmem56"
"Rplp01",3.23948327491683e-12,1.16239389007884,0.219,0.065,7.89850812090221e-08,"Optic nerve","Rplp0"
"Slc44a11",3.98752849533745e-12,2.83283622194381,0.128,0.01,9.72239197733178e-08,"Optic nerve","Slc44a1"
"Olig1",4.79809447141873e-12,10.7439851995928,0.108,0,1.16987139402131e-07,"Optic nerve","Olig1"
"Erbin1",5.50605307650194e-12,1.7634382748856,0.157,0.027,1.3424858611127e-07,"Optic nerve","Erbin"
"Rpl33",7.88101659107632e-12,1.07327685612412,0.173,0.037,1.92154946523623e-07,"Optic nerve","Rpl3"
"Rps191",9.14700519348325e-12,1.31125624319672,0.226,0.072,2.23022280627509e-07,"Optic nerve","Rps19"
"Nupr11",9.68300943492504e-12,1.30630436239162,0.139,0.017,2.36091136042342e-07,"Optic nerve","Nupr1"
"Opalin",1.62372379416731e-11,10.951041852287,0.103,0,3.95896335493873e-07,"Optic nerve","Opalin"
"Col1a11",1.83089741847984e-11,1.4734270948384,0.132,0.015,4.46409408573755e-07,"Optic nerve","Col1a1"
"Rps61",1.8629064345968e-11,2.1677842775607,0.14,0.02,4.54213846883392e-07,"Optic nerve","Rps6"
"Sept71",2.05343922085068e-11,2.58081916960072,0.143,0.022,5.00669550827812e-07,"Optic nerve","Sept7"
