	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Asph	8.23E-05	-0.600327675	0.094	0.108	1	RIR	Asph
Prrx1	8.54E-05	0.178133937	0.065	0.052	1	RIR	Prrx1
Atp13a3	8.60E-05	0.684204203	0.032	0.023	1	RIR	Atp13a3
Klf4	8.76E-05	-0.252092699	0.229	0.246	1	RIR	Klf4
Zmynd8	8.81E-05	0.337509846	0.045	0.034	1	RIR	Zmynd8
Tnfrsf1a	8.83E-05	0.132039019	0.089	0.074	1	RIR	Tnfrsf1a
Cst3	8.96E-05	0.165648422	0.272	0.245	1	RIR	Cst3
Papola	8.97E-05	0.183843381	0.084	0.069	1	RIR	Papola
Fstl1	9.06E-05	0.285441207	0.11	0.094	1	RIR	Fstl1
Grip1	9.09E-05	0.397810313	0.034	0.025	1	RIR	Grip1
Tsc22d2	9.12E-05	0.439983005	0.036	0.026	1	RIR	Tsc22d2
Hook3	9.23E-05	0.168021852	0.069	0.056	1	RIR	Hook3
Znrf1	9.29E-05	0.117848723	0.036	0.027	1	RIR	Znrf1
B3gntl1	9.30E-05	0.254440959	0.046	0.035	1	RIR	B3gntl1
Pfdn1	9.39E-05	-0.240597738	0.111	0.128	1	RIR	Pfdn1
Relb	9.50E-05	0.603850788	0.016	0.01	1	RIR	Relb
Atp5k	9.74E-05	-0.291087305	0.185	0.201	1	RIR	Atp5k
Pltp	9.83E-05	0.308631715	0.023	0.016	1	RIR	Pltp
Sppl2a	9.90E-05	0.112440692	0.045	0.034	1	RIR	Sppl2a
Mif	9.91E-05	-0.381865851	0.066	0.079	1	RIR	Mif
Rictor	9.94E-05	0.378690136	0.03	0.021	1	RIR	Rictor
Prkch	9.97E-05	0.234157037	0.059	0.047	1	RIR	Prkch
Nln	0.000101424	0.357060139	0.018	0.011	1	RIR	Nln
Wif1	0.000101473	1.199315278	0.01	0.005	1	RIR	Wif1
Cxcl16	0.000103273	0.16696066	0.017	0.011	1	RIR	Cxcl16
Magi1	0.000104218	0.381848705	0.055	0.043	1	RIR	Magi1
Hcfc1r1	0.000104552	-0.43244167	0.053	0.065	1	RIR	Hcfc1r1
Bmp1	0.000104955	0.678691541	0.032	0.023	1	RIR	Bmp1
Retnla	0.000105374	-1.106215782	0.006	0.01	1	RIR	Retnla
Rp2	0.000106316	0.632547171	0.017	0.011	1	RIR	Rp2
Dhx38	0.00010714	0.441665048	0.023	0.016	1	RIR	Dhx38
Myo1e	0.000109842	0.117735126	0.063	0.05	1	RIR	Myo1e
Bcl2l13	0.000109937	-0.511930924	0.064	0.077	1	RIR	Bcl2l13
Asap3	0.000110495	0.454999252	0.012	0.006	1	RIR	Asap3
Taok1	0.000110602	0.429413373	0.071	0.058	1	RIR	Taok1
Vdac1	0.000110645	-0.513656481	0.091	0.106	1	RIR	Vdac1
Ndrg1	0.000114547	-0.612048692	0.044	0.055	1	RIR	Ndrg1
Fry	0.000115027	0.249375301	0.046	0.035	1	RIR	Fry
Midn	0.000115159	0.262471688	0.087	0.072	1	RIR	Midn
Mtor	0.000115862	0.404095827	0.031	0.023	1	RIR	Mtor
Gm26917	0.000117429	0.312175882	0.248	0.226	1	RIR	Gm26917
Atad2b	0.0001195	0.717313692	0.042	0.032	1	RIR	Atad2b
Nsd3	0.000119908	0.174737253	0.065	0.052	1	RIR	Nsd3
Bcas2	0.000120981	-0.505843098	0.037	0.047	1	RIR	Bcas2
Pnkd	0.000120995	-0.564007438	0.02	0.027	1	RIR	Pnkd
Aldh6a1	0.000121658	-0.919793236	0.014	0.021	1	RIR	Aldh6a1
Crip2	0.000122141	-0.297174853	0.02	0.028	1	RIR	Crip2
Bok	0.000122691	-0.421882823	0.045	0.056	1	RIR	Bok
Ctps	0.000123376	0.575680681	0.021	0.014	1	RIR	Ctps
Gnai2	0.000123942	0.234823967	0.129	0.111	1	RIR	Gnai2
Rab10	0.000125054	0.137955573	0.128	0.109	1	RIR	Rab10
Plekha7	0.000126979	0.106089734	0.061	0.049	1	RIR	Plekha7
Mapkapk2	0.000127106	0.340624076	0.078	0.064	1	RIR	Mapkapk2
Usp25	0.000127809	0.22994486	0.063	0.051	1	RIR	Usp25
Agr2	0.000128317	-0.604576381	0.006	0.01	1	RIR	Agr2
Serf2	0.000128754	-0.247684885	0.285	0.301	1	RIR	Serf2
Enpp3	0.00012915	0.22459976	0.099	0.083	1	RIR	Enpp3
Rsu1	0.00012967	0.642366813	0.024	0.016	1	RIR	Rsu1
