	ID	Description	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneRatio	Regions
GO:0042542	GO:0042542	response to hydrogen peroxide	116/28928	0.025862069	41.56321839	10.9229162	4.91E-05	0.001614596	0.000943687	Cryaa/Cryab/Gja3	3	0.166666667	Len
GO:0000302	GO:0000302	response to reactive oxygen species	223/28928	0.013452915	21.62032885	7.713174335	0.000338576	0.008170969	0.004775704	Cryaa/Cryab/Gja3	3	0.166666667	Len
GO:00076012	GO:0007601	visual perception	162/28928	0.030864198	68.67996201	18.31638026	6.43E-09	8.43E-07	4.31E-07	Lrat/Rdh10/Rdh5/Rgr/Rpe65	5	0.384615385	Rpe
GO:0042572	GO:0042572	retinol metabolic process	52/28928	0.076923077	171.1715976	26.04246008	6.56E-09	8.43E-07	4.31E-07	Lrat/Rdh10/Rdh5/Rpe65	4	0.307692308	Rpe
GO:00509532	GO:0050953	sensory perception of light stimulus	166/28928	0.030120482	67.02502317	18.08901175	7.26E-09	8.43E-07	4.31E-07	Lrat/Rdh10/Rdh5/Rgr/Rpe65	5	0.384615385	Rpe
GO:0001523	GO:0001523	retinoid metabolic process	76/28928	0.052631579	117.1174089	21.49205515	3.09E-08	2.69E-06	1.37E-06	Lrat/Rdh10/Rdh5/Rpe65	4	0.307692308	Rpe
GO:0016101	GO:0016101	diterpenoid metabolic process	81/28928	0.049382716	109.8879392	20.80816277	4.00E-08	2.78E-06	1.42E-06	Lrat/Rdh10/Rdh5/Rpe65	4	0.307692308	Rpe
GO:0006721	GO:0006721	terpenoid metabolic process	90/28928	0.044444444	98.8991453	19.72329007	6.13E-08	3.56E-06	1.82E-06	Lrat/Rdh10/Rdh5/Rpe65	4	0.307692308	Rpe
GO:0034308	GO:0034308	primary alcohol metabolic process	110/28928	0.036363636	80.91748252	17.80606664	1.38E-07	6.45E-06	3.30E-06	Lrat/Rdh10/Rdh5/Rpe65	4	0.307692308	Rpe
GO:0006720	GO:0006720	isoprenoid metabolic process	112/28928	0.035714286	79.47252747	17.6429653	1.48E-07	6.45E-06	3.30E-06	Lrat/Rdh10/Rdh5/Rpe65	4	0.307692308	Rpe
